run_name,agent,model,reasoning_mode,n_values,episodes_per_n,score_threshold_q,p0_sla_threshold,memory_policy
gpt-5.2_scratchpad_only_auto,openai,gpt-5.2,auto,50,3,0.75,0.9,scratchpad_only
gpt-5.2_thread_state_auto,openai,gpt-5.2,auto,50,3,0.75,0.9,thread_state
gpt-5.2_scratchpad_only_high,openai,gpt-5.2,high,50,3,0.75,0.9,scratchpad_only
gpt-5.2_thread_state_high,openai,gpt-5.2,high,50,3,0.75,0.9,thread_state
gpt-5-mini_scratchpad_only_auto,openai,gpt-5-mini,auto,50,3,0.75,0.9,scratchpad_only
gpt-5-mini_thread_state_auto,openai,gpt-5-mini,auto,50,3,0.75,0.9,thread_state
gpt-5-mini_scratchpad_only_high,openai,gpt-5-mini,high,50,3,0.75,0.9,scratchpad_only
gpt-5-mini_thread_state_high,openai,gpt-5-mini,high,50,3,0.75,0.9,thread_state
heuristic_scratchpad_only,heuristic,n/a,n/a,50,3,0.75,0.9,scratchpad_only
heuristic_thread_state,heuristic,n/a,n/a,50,3,0.75,0.9,thread_state
